year,p_totcons
13,9.8999996
14,10
15,10.1
16,10.9
17,12.8
18,15.1
19,17.299999
20,20
21,17.9
22,16.799999
23,17.1
24,17.1
25,17.5
26,17.700001
27,17.4
28,17.1
29,17.1
30,16.700001
31,15.2
32,13.7
33,13
34,13.4
35,13.7
36,13.9
37,14.4
38,14.1
39,13.9
40,14
41,14.7
42,16.299999
43,17.299999
44,17.6
45,18
46,19.5
47,22.299999
48,24.1
49,23.799999
50,24.1
51,26
52,26.5
53,26.700001
54,26.9
55,26.799999
56,27.200001
57,28.1
58,28.9
59,29.1
60,29.6
61,29.9
62,30.200001
63,30.6
64,31
65,31.5
66,32.400002
67,33.400002
68,34.799999
69,36.700001
70,38.799999
71,40.5
72,41.799999
73,44.400002
74,49.299999
75,53.799999
76,56.900002
77,60.599998
78,65.199997
79,72.599998
80,82.400002
81,90.900002
82,96.5
83,99.599998
84,103.9
85,107.6
86,109.6
87,113.6
88,118.3
89,124
90,130.7
91,136.2
92,140.3
93,144.5
94,148.2
95,152.39999
96,156.89999
97,160.5
98,163
99,166.60001
100,172.2
101,177.10001
102,179.89999
103,184
104,188.89999
105,195.3
106,201.60001
107,207.342
108,215.30299
109,214.537
110,218.056
